to abandon,отказаться
to disclose, раскрывать
disclosure, раскрытие информации
to discourage, обескураживать
discourse, дискурс
discretion, осмотрительность
discrimination, дискриминация
dismissal, увольнение
disorder, расстройство
to displace, вытеснять
disposal, утилизация
to dispose, распоряжаться
dispute, спор
to disrupt, нарушать
disruption, нарушение
to dissolve, растворить
distant, далекий
distinct, отчетливый
distinction, различие
distinctive, отличительный
to distinguish, различать
to distort, искажать
to distract, отвлекать
distress, бедствие
to disturb, беспокоить
disturbing, тревожный
to dive, нырять
diverse, разнообразный
diversity, разнообразие
to divert, отвлекать
divine, божественный
divorce, развод
doctrine, доктрина
documentation, документация
domain, домен
dominance, доминирование
dominant, доминирующий
donation, пожертвование
donor, донор
dose, доза
dot, точка
downtown, центр города
to drain, слить
dramatically, драматически
to drift, дрейфовать
drought, засуха
to drown,утонуть
dual, двойной
to dub, дублировать
dull, тупой
dumb, тупой
to dump, сбрасывать
duo, дуэт
duration, продолжительность
dynamic, динамический
eager, жаждущий
earnings, заработок
ease, простота
to echo, эхом
ecological, экологический
economics, экономика
economist, экономист
editorial, редакционная статья
educator, педагог
effectiveness, эффективность
efficiency, эффективность
efficiently, эффективно
ego, эго
elaborate, разрабатывать
elbow, локоть
electoral, избирательный
electronics, электроника
elegant, элегантный
elementary, элементарный
to elevate, поднять
eligible, имеющий право
to eliminate, устранить
elite, элита
to embark, приступить к работе
embarrassment, смущение
embassy, посольство
to embed, встраивать
to embody, воплощать
to embrace, обнимать
emergence, возникновение
emission, эмиссия
emotionally, эмоционально
empire, империя
empirical, эмпирический
to empower, для расширения прав и возможностей
to enact, принять
to encompass, охватывать
encouragement, поощрение
encouraging, поощрение
endeavour, стараться
endless, бесконечный
to endorse, одобрять
endorsement, поддержка
to endure, терпеть
to enforce, для обеспечения соблюдения
enforcement, исполнение
engagement, обручение
engaging, увлекательный
enjoyable, приятный
to enquire, спрашивать
to enrich, обогащать
to enrol, зарегистрироваться
to ensue, последовать
enterprise, предприятие
entertaining, развлекательный
enthusiast, энтузиаст
to entitle, давать право
entity,сущность
entrepreneur, предприниматель
envelope, конверт
epidemic, эпидемия
equality, равенство
equation, уравнение
to equip, оснащать
equivalent, эквивалент
era, эра
to erect, возводить
to erupt, извергаться
to escalate, обострять
essence, сущность
essentially, по сути
establishment, учреждение
eternal, вечный
ethic, этика
ethnic, этнический
to evacuate, эвакуировать
evaluation, оценка
evident, очевидный
to evoke, вызывать
evolution, эволюция
evolutionary, эволюционный
to evolve, развиваться
to exaggerate, преувеличивать
to exceed, превзойти
excellence, совершенство
exception, исключение
exceptional, исключительный
excess, избыток
excessive, излишний
to exclude, исключить
exclusion, исключение
exclusive, эксклюзивный
exclusively, исключительно
to execute, выполнить
execution, исполнение
to exert, оказывать
to exhibit, выставлять
exile, изгнание
exit, Выход
exotic, экзотический
expansion, расширение
expenditure, расходы
experimental, экспериментальный
expertise, экспертиза
to expire, истекать
explicit, явный
explicitly, явно
to exploit, эксплуатировать
exploitation, эксплуатация
explosive, взрывчатое вещество
exposure, контакт
extension, расширение
extensive, обширный
extensively, экстенсивно
extract, извлекать
extremist, экстремистский
fabric, ткань
fabulous, поразительнй
to facilitate, чтобы облегчить
faction, фракция
faculty, факультет
to fade, исчезать
failed,неуспешный
fairness, справедливость
fake, фальшивый
fame, слава
fantasy, фантастика
fare, плата за проезд
fatal, фатальный
fate, судьба
favourable, благоприятный
feat, подвиг
federal, федеральный
feminist, феминистка
fever, высокая температура
fibre, волокно
fierce, яростный
film-maker, кинорежиссер
filter, фильтр
firearm, огнестрельное оружие
firefighter, пожарный
firework, фейерверк
firmly, твердо
fit, соответствовать
fixture, приспособление
flavour, вкус
flaw, недостаток
flawed, несовершенный
to flee, бежать
fleet, флот
flesh, плоть
flexibility, гибкость
to flourish, процветать
fluid, жидкость
fond, любящий
fool, дурак
footage, отснятый материал
to forbid, запрещать
forecast, прогноз
foreigner, иностранец
to forge, ковать
format, формат
formation, формирование
formerly, раньше
formula, формула
to formulate, формулировать
forth, вперед
forthcoming, предстоящий
fortunate, повезло
forum, форум
fossil, ископаемое
to foster, способствовать
foundation, фундамент
founder, основатель
fraction, дробь
fragile, хрупкий
fragment, фрагмент
framework, рамки
franchise, франшиза
frankly, честно говоря
fraud, мошенничество
freely, свободно
frequent, частый
frustrated, расстроенный
frustrating, раздражающий
frustration, разочарование
to fulfil, выполнить
full-time, на постоянной основе
functional, функциональный
fundamentally, принципиально
fundraising, сбор средств
funeral, похороны
furious, яростный
gallon,галлон
gambling, играть в азартные игры
gaming, игровой
gathering, встреча
gay, гей
gaze, взгляд
gear, механизм
gender, пол
gene, ген
generic, общий
genetic, генетический
genius, гений
genocide, геноцид
genuine, подлинный
genuinely, искренне
gesture, жест
gig, концерт
glance, взглянуть мельком
glimpse, случайно заметить
globalization, глобализация
globe, глобус
glorious, славный
glory, слава
golden, золотой
goodness, доброта
gorgeous, великолепный
governance, управление
governor, губернатор
grace, милость
graphic, графический
graphics, графика
to grasp, схватить
grave (for dead person), могила (для умершего)
grave (serious), серьезный (серьезный)
gravity, гравитация
greatly, в значительной степени
greenhouse, теплица
grid, сетка
grief, горе
to grin, ухмыляться
to grind, молоть
grip, схватить
grocery, бакалея
gross, валовой
guerrilla, партизан
guidance, руководство
guideline, руководство
guilt, вина
gut, кишка
habitat, среда обитания
to hail, приветствовать
halfway, наполовину
to halt, остановить
handful, горстка
handling, умение обращаться
handy, удобный
harassment, домогательство
harbour, гавань
hardware, аппаратное обеспечение
harmony, гармония
harsh, жесткий
harvest, урожай
hatred n, ненависть н
to haunt, преследовать
hazard, опасность
headquarters, штаб-квартира
to heal, исцелять
healthcare, здравоохранение
to heighten, усиливать
helmet, шлем
hence, следовательно
herb,трава
heritage, наследство
hidden, скрытый
hierarchy, иерархия
high-profile, высококлассный
highway, шоссе
hilarious, веселый
hint, намекать
hip, бедро
historian, историк
homeland, родина
homeless, бездомный
honesty, честность
to hook, зацепить
hopeful, обнадеживающий
hopefully, с надеждой
horizon, горизонт
horn, рог
hostage, заложник
hostile, враждебный
hostility, враждебность
humanitarian, гуманитарный
humanity, человечество
humble, скромный
hunger, голод
hydrogen, водород
hypothesis, гипотеза
icon, икона
ID, ИДЕНТИФИКАТОР
identical, идентичный
identification, идентификация
ideological, идеологический
ideology, идеология
idiot, идиот
ignorance, невежество
illusion, иллюзия
imagery, образы
immense, огромный
immigration, иммиграция
imminent, неизбежный
immune, иммунный
to implement, реализовать
implementation, выполнение
implication, импликация
to imprison, заключать в тюрьму
imprisonment, тюремное заключение
inability, неспособность
inadequate, неадекватный
inappropriate, неприличный
incentive, стимул
incidence, заболеваемость
inclined, наклонный
inclusion, включение
to incorporate, включить
incorrect, неправильный
to incur, нести
independence, независимость
index, индекс
indication, указание
indicator, индикатор
indictment, обвинительный акт
indigenous, местный
to induce, вызывать
to indulge, баловать
inequality, неравенство
inevitable, неизбежный
inevitably,неизбежно
infamous, позорный
infant, младенец
to infect, заражать
to infer, делать вывод
inflation, инфляция
to inflict, нанести
influential, влиятельный
info, информация
infrastructure, инфраструктура
inhabitant, житель
inherent, присущий
to inherit, наследовать
to inhibit, ингибировать
to initiate, инициировать
to inject, вводить
injection, инъекция
injustice, несправедливость
ink, чернила
inmate, заключенный
innovation, инновации
innovative, инновационный
input, вход
to insert, вставить
insertion, вставка
insider, инсайдер
to inspect, осматривать
inspection, осмотр
inspector, инспектор
inspiration, вдохновение
installation, установка
instant, мгновенный
instantly, немедленно
instinct, инстинкт
institutional, институциональный
to instruct, инструктировать
instrumental, инструментальный
insufficient, недостаточный
insult, оскорблять
intact, нетронутый
intake, потребление
integral, интеграл
to integrate, интегрировать
integrated, интегрированный
integration, интеграция
integrity, честность
intellectual, интеллектуальный
to intensify, интенсифицировать
intensity, интенсивность
intensive, интенсивный
intent, намерение
to interact, взаимодействовать
interaction, взаимодействие
interactive, интерактивный
interface, интерфейс
to interfere, вмешиваться
interference, вмешательство
interim, временный
interior, интерьер
intermediate, средний
interpretation, интерпретация
interval, интервал
to intervene,вмешаться
intervention, вмешательство
intimate, интимный
intriguing, интригующий
to invade, вторгаться
invasion, вторжение
investigator, следователь
investor, инвестор
invisible, невидимый
to invoke, вызывать
involvement, участие
ironic, ироничный
ironically, по иронии судьбы
irony, ирония
irrelevant, не имеющий отношения
to isolate, изолировать
isolated, изолированный
isolation, изоляция
jail, тюрьма
jet, струя
joint, соединение
journalism, журналистика
judicial, судебный
junction, перекресток
jurisdiction, юрисдикция
jury, жюри
justification, оправдание
to kidnap, похищать
kidney, почка
kingdom, королевство
kit, набор
lad, парень
ladder, лестница
landing, посадка
landlord, домовладелец
landmark, достопримечательность
lane, переулок
lap, колени
large-scale, крупномасштабный
laser, лазер
lately, недавно
latter, последний
lawn, лужайка
lawsuit, судебный процесс
layout, макет
leaflet, листовка
to leak, течь
to leap, прыгать
legacy, наследие
legend, легенда
legendary, легендарный
legislation, законодательство
legislative, законодательный
legislature, законодательный орган
legitimate, законный
lengthy, длинный
lens, линза
lesbian, лесбиянка
lesser, меньший
lethal, смертельный
liable, ответственный
liberal, либеральный
liberation, освобождение
liberty, свобода
to license, лицензировать
lifelong, пожизненный
lifetime, продолжительность жизни
lighting, освещение
likelihood, вероятность
likewise, так же
limb,конечность
limitation, ограничение
linear, линейный
line-up, расстановка
to linger, задерживаться
listing, листинг
literacy, грамотность
literally, буквально
literary, литературный
litre, литр
litter, мусор
liver, печень
lobby, лобби
log, бревно
logic, логика
logo, логотип
long-standing, давний
long-time, много времени
to loom, маячить
loop, петля
lottery, лотерея
loyal, лояльный
loyalty, верность
lyric, лирический
machinery, машины
magical, волшебный
magistrate, магистрат
magnetic, магнитный
magnificent, великолепный
magnitude, величина
mainland, материк
mainstream, мейнстрим
maintenance, обслуживание
make-up, составить
making, изготовление
mandate, мандат
mandatory, обязательный
to manifest, проявлять
to manipulate, манипулировать
manipulation, манипуляция
to manufacture, для производства
manufacturing, производство
manuscript, рукопись
marathon, марафон
march, маршировать
margin, допуск
marginal, маргинальный
marine, морской
marker, маркер
marketplace, рынок
martial, боевые
mask, маска
massacre, резня
mate, приятель
mathematical, математический
mature, зрелый
to maximize, максимизировать
mayor, мэр
meaningful, значимый
meantime, тем временем
mechanic, механик
mechanical, механический
mechanism, механизм
medal, медаль
medication, медикамент
medieval, средневековый
meditation, медитация
melody, мелодия
membership, членство
memo,меморандум
memoir, мемуары
memorable, памятный
memorial, мемориал
mentor, наставник
merchant, торговец
mercy, милосердие
mere, просто
merely, просто
to merge, объединить
merger, слияние
merit, заслуга
metaphor, метафора
methodology, методология
midst, середина
migration, миграция
militant, воинствующий
militia, милиция
mill, мельница
miner, шахтер
minimal, минимальный
to minimize, минимизировать
mining, добыча
ministry, министерство
minute, минута
miracle, чудо
miserable, убогий
misery, невзгоды
misleading, вводящий в заблуждение
missile, ракета
mob, толпа
mobility, мобильность
to mobilize, мобилизовать
mode, режим
moderate, умеренный
modest, скромный
modification, модификация
momentum, импульс
monk, монах
monopoly, монополия
monster, монстр
monthly, ежемесячно
monument, памятник
morality, мораль
moreover, более того
mortgage, ипотека
mosque, мечеть
motion, движение
to motivate, мотивировать
motivation, мотивация
motive, мотив
motorist, автомобилист
moving, движущийся
municipal, муниципальный
mutual, взаимный
myth, миф
naked, голый
namely, а именно
nasty, противный
nationwide, по всей стране
naval, военно-морской
navigation, навигация
nearby, рядом
necessity, необходимость
to neglect, пренебрегать
to negotiate, вести переговоры
negotiation, переговоры
neighbouring, соседний
nest, гнездо
neutral, нейтральный
newly, недавно
newsletter, информационный бюллетень
niche, ниша
noble,благородный
to nod, кивать
to nominate, номинировать
nomination, номинация
nominee, номинант
nonetheless, тем не менее
non-profit, некоммерческий
nonsense, ерунда
noon, полдень
norm, норма
notable, заметный
notably, в частности
notebook, блокнот
to notify, уведомить
notorious, печально известный
novelist, романист
nowadays, настоящее время
nursery, питомник
nursing, сестринское дело
nutrition, питание
obesity, ожирение
objection, возражение
to oblige, обязать
observer, наблюдатель
to obsess, одержимость
obsession, одержимость
obstacle, препятствие
occasional, случайный
occupation, занятие
to occupy, занимать
occurrence, возникновение
odds, шансы
offender, преступник
offering, предлагая
offspring, потомство
ongoing, непрерывный
openly, открыто
opera, опера
operational, оперативный
operator, оператор
to opt, выбирать
optical, оптический
optimism, оптимизм
optimistic, оптимистичный
oral, устный
orchestra, оркестр
organic, органический
organizational, организационный
orientation, ориентация
to originate, возникать
outbreak, вспышка
outfit, одежда
outing, вылазка
outlet, выход
outlook, перспективы
output, выход
outrage, возмущение
outsider, аутсайдер
outstanding, выдающийся
to overcome, преодолеть
to overlook, упускать из виду
overly, чрезмерно
overnight, на ночь
overseas, за границей
to oversee, контролировать
to overturn, опрокинуть
to overwhelm, подавлять
overwhelming,подавляющий
ownership, собственность
oxygen, кислород
packet, пакет
pad, прокладка
palm, ладонь
panic, паника
parade, парад
parallel, параллельный
parameter, параметр
parental, родительский
parish, приход
parliamentary, парламентский
partial, частичный
partially, частично
participation, участие
partnership, партнерство
part-time, неполная занятость
passing, прохождение
passionate, страстный
passive, пассивный
password, пароль
pastor, пастор
patch, пластырь
patent, патент
pathway, тропа
patience, терпение
patrol, патруль
patron, покровитель
to pause, сделать паузу
peak, пик
peasant, крестьянин
peculiar, своеобразный
peer, вглядеться
penalty, штраф
to perceive, воспринимать
perception, восприятие
permanently, постоянно
to persist, сохраняться
persistent, настойчивый
personnel, персонал
petition, петиция
philosopher, философ
philosophical, философский
physician, врач
pill, таблетка
pioneer, пионер
pipeline, трубопровод
pirate, пират
pit, яма
pity, жалость
placement, размещение
plea, мольба
to plead, умолять
to pledge, давать обещание
to plug, подключать
to plunge, погружаться
pole, полюс
poll, голосование
pond, пруд
to pop, лопнуть
portfolio, портфель
portion, часть
to portray, изображать
to postpone, отложить
post-war, послевоенный
potentially, потенциально
practitioner, практикующий
to preach, проповедовать
to precede,предшествовать
precedent, прецедент
precious, драгоценный
precise, точный
precisely, именно так
precision, точность
predator, хищник
predecessor, предшественник
predictable, предсказуемый
predominantly, преимущественно
preference, предпочтение
pregnancy, беременность
prejudice, предрассудки
preliminary, предварительный
premier, премьер
premise, предпосылка
premium, премиум
to prescribe, прописывать
prescription, рецепт
presently, в настоящее время
preservation, сохранение
to preside, председательствовать
presidency, президентство
presidential, президентский
prestigious, престижный
presumably, предположительно
to presume, предполагать
to prevail, преобладать
prevalence, распространенность
prevention, профилактика
prey, добыча
pride, гордость
primarily, в первую очередь
principal, главный
prior, прежний
privatization, приватизация
privilege, привилегия
probability, вероятность
probable, вероятный
probe, зонд
problematic, проблематичный
to proceed, продолжить
proceedings, разбирательство
proceeds, доходы
processing, обработка
processor, процессор
to proclaim, провозглашать
productive, продуктивный
productivity, производительность
profitable, прибыльный
profound, глубокий
programming, программирование
progressive, прогрессивный
to prohibit, запрещать
projection, проекция
prominent, видный
promising, многообещающий
promotion, повышение
to prompt, подсказать
pronounced, произносится
propaganda, пропаганда
proportion, пропорция
proposition,предложение
to prosecute, преследовать в судебном порядке
prosecution, преследование
prosecutor, прокурор
prospective, перспективный
prosperity, процветание
protective, защитный
protein, белок
protester, протестующий
protocol, протокол
province, провинция
provincial, провинциальный
provision, обеспечение
to provoke, провоцировать
psychiatric, психиатрический
psychological, психологический
publicity, публичность
publishing, издательский
pulse, пульс
to pump, качать
punch, ударить кулаком
punk, панк
purely, чисто
pursuit, преследование
puzzle, головоломка
query, запрос
quest, квест
questionnaire, вопросник
quota, квота
racial, расовый
racism, расизм
racist, расистский
radar, радар
radiation, радиация
radical, радикальный
rage, ярость
raid, рейд
rail, рельс
rally, ралли
random, случайный
ranking, рейтинг
rape, изнасилование
rat, крыса
rating, рейтинг
ratio, соотношение
rational, рациональный
ray, луч
readily, легко
realization, реализация
realm, область
rear, задний
reasonably, разумно
reasoning, рассуждение
to reassure, успокаивать
rebel, мятежник
rebellion, восстание
to rebuild, перестроить
receiver, приемник
recession, рецессия
recipient, получатель
to reckon, рассчитывать
recognition, признание
reconstruction, реконструкция
to recount1, пересчитывать1
recovery, восстановление
to recruit, набирать
recruitment, набор
referee, судья
referendum, референдум
reflection,отражение
reform, реформа
refuge, убежище
refugee, беженец
refusal, отказ
to regain, вернуть
regardless, несмотря ни на что
regime, режим
registration, регистрация
to regulate, регулировать
regulator, регулятор
regulatory, регулирующий
rehabilitation, реабилитация
reign, царствовать
to reinforce, для усиления
rejection, отклонение
relevance, релевантность
reliability, надежность
to relieve, облегчить
relieved, с облегчением
reluctant, вынужденный
remainder, остаток
remains, останки
remarkable, замечательный
remarkably, замечательно
remedy, средство
reminder, напоминание
removal, удаление
to render, оказывать
to renew, обновить
renowned, известный
rental, аренда
replacement, замена
reportedly, как сообщается
reporting, отчетность
representation, представление
to reproduce, воспроизводить
reproduction, воспроизводство
republic, республика
to resemble, походить
to reside, проживать
residence, резиденция
residential, Жилой
residue, остаток
to resign, уйти в отставку
resignation, отставка
resistance, сопротивление
resolution, разрешение
respective, соответствующий
respectively, соответственно
restoration, восстановление
to restore, восстановить
restraint, сдержанность
to restrict, ограничивать
restriction, ограничение
to resume, возобновить
retail, розничная торговля
retirement, выход на пенсию
retreat, отступление
to retrieve, чтобы получить
revelation, откровение
revenge, месть
revenue, доход
to reverse,повернуть вспять
revision, пересмотр
revival, возрождение
to revive, возрождать
revolutionary, революционный
rhetoric, риторика
ridiculous, нелепый
rifle, винтовка
riot, бунт
to rip, рвать
risky, рискованный
ritual, ритуал
rival, соперник
to rob, грабить
robbery, ограбление
robust, крепкий
to rock, качаться
rocket, ракета
rod, стержень
romance, романтика
rose, роза
to rotate, вращать
rotation, вращение
roughly, грубо
to ruin, разрушить
ruling, постановление
rumour, слух
to sack, увольнять
sacred, священный
sacrifice, жертва
saint, святой
sake, ради
sanction, санкция
satisfaction, удовлетворение
say, сказать
scandal, скандал
to scare, пугать
scattered, разбросанный
scenario, сценарий
sceptical, скептически настроенный
scholar, ученый
scholarship, стипендия
scope, объем
to scratch, царапать
screening, скрининг
to screw, ввинчивать
scrutiny, проверка
to seal, запечатать
secular, светский
seeker, искатель
seemingly, по-видимому
segment, сегмент
to seize, захватить
seldom, редко
selective, селективный
seminar, семинар
senator, сенатор
sensation, ощущение
sensitivity, чувствительность
sentiment, сентимент
separation, разделение
serial, серийный
settlement, урегулирование
settler, поселенец
set-up, настраивать
severely, строго
sexuality, сексуальность
sexy, сексуальный
shaped, в форме
shareholder, акционер
to shatter, разбить
to shed,пролить
sheer, явный
shipping, перевозки
shocking, шокирующий
shoot, стрелять
shore, берег
shortage, нехватка
shortly, вскоре
short-term, короткий срок
to shrink, сжиматься
to shrug, пожимать плечами
sibling, брат или сестра
to sigh, вздыхать
signature, подпись
significance, значение
to simulate, имитировать
simulation, симуляция
simultaneously, одновременно
sin, грех
sketch, эскиз
skilled, квалифицированный
to skip, пропустить
skull, череп
to slam, хлопать
to slap, давать пощечину
to slash, резать
slavery, рабство
slogan, лозунг
slot, слот
to smash, разбить
to snap, щелкнуть
to soak, замачивать
to soar, парить
so-called, так называемый
socialist, социалистический
sole, подошва
solely, исключительно
solicitor, адвокат
solidarity, солидарность
solo, соло
somehow, как-то
sometime, когда-нибудь
sophisticated, сложный
sovereignty, суверенитет
spam, спам
to span, охватывать
spare, запасной
to spark, зажечь
to specialize, специализироваться
specialized, специализированный
specification, спецификация
to specify, указать
specimen, образец
spectacle, зрелище
spectacular, зрелищный
spectator, зритель
spectrum, спектр
to speculate, спекулировать
speculation, спекуляция
spell, заклинание
sphere, сфера
spice, специи
to spill, пролить
to spin, прясть
spine, позвоночник
spite, злость
to spoil, портить
spokesman, пресс-секретарь
spokesperson, пресс-секретарь
spokeswoman,пресс-секретарь
sponsorship, спонсорство
sporting, спортивный
spotlight, в центре внимания
spouse, супруг
spy, шпион
squad, отряд
to squeeze, выжимать
to stab, наносить удары ножом
stability, стабильность
to stabilize, стабилизировать
stake, кол
stall, ларек
stance, позиция
standing, стоя
stark, суровый
to starve, голодать
statistical, статистический
steadily, устойчиво
steam, пар
to steer, рулить
stem, корень
stereotype, стереотип
to stimulate, стимулировать
stimulus, стимул
to stir, размешивать
storage, хранилище
straightforward, простой
strain, напряжение
strand, прядь
strategic, стратегический
to strengthen, укреплять
strictly, строго
striking, поразительный
strip (long narrow piece), полоска (длинная узкая часть)
strip (remove clothes/a layer), полоска (снять одежду/слой)
to strive, стремиться
stroke, гладить
structural, структурный
to stumble, споткнуться
to stun, оглушить
stunning, оглушительный
submission, подчинение
subscriber, подписчик
subscription, подписка
subsequent, последующий
subsequently, впоследствии
subsidy, субсидия
substantial, существенный
substantially, существенно
substitute, заменять
substitution, замена
subtle, тонкий
suburb, пригород
suburban, пригородный
succession, преемственность
successive, последовательный
successor, преемник
to suck, сосать
to sue, подать в суд
suffering, страдания
sufficient, достаточный
sufficiently, достаточно
suicide,самоубийство
suite, сюита
summit, саммит
super, супер
superb, превосходно
superior, начальство
to supervise, контролировать
supervision, надзор
supervisor, руководитель
supplement, добавка
supportive, поддерживающий
supposedly, предположительно
to suppress, подавлять
supreme, верховный
surge, всплеск
surgeon, хирург
surgical, хирургический
surplus, излишек
to surrender, сдаться
surveillance, наблюдение
survival, выживание
survivor, выживший
to suspend, приостановить
suspension, приостановка
suspicion, подозрение
suspicious, подозрительный
to sustain, поддерживать
sustainable, устойчивый
to swallow, глотать
to swing, качаться
sword, меч
symbolic, символический
sympathetic, сочувствующий
syndrome, синдром
synthesis, синтез
systematic, систематический
to tackle, решать
tactic, тактика
tactical, тактический
tag, ярлык
to tap, нажимать
taxpayer, налогоплательщик
technological, технологический
teens, тинейджеры
temple, храм
temporarily, временно
to tempt, соблазнять
tenant, жилец
tendency, тенденция
tender, нежный
tension, напряжение
tenure, срок пребывания
terminal n B, терминал n B
to terminate, прекратить
terms, условия
terrain, местность
terribly, ужасно
terrific, потрясающий
to terrify, ужасать
territory, территория
terror, террор
terrorism, терроризм
terrorist, террорист
to testify, давать показания
testimony, показания
testing, тестирование
textbook, учебник
texture,текстура
thankfully, к счастью
theatrical, театральный
theft, кража
theology, теология
theoretical, теоретический
therapist, терапевт
thereafter, после этого
thereby, тем самым
thesis, тезис
thorough, тщательный
thoroughly, тщательно
thoughtful, вдумчивый
thought-provoking, наводящий на размышления
thread, нить
threshold, порог
thrilled, взволнованный
to thrive, процветать
thumb, большой палец
tide, прилив
to tighten, затягивать
timber, древесина
timely, своевременный
timing, время
tissue, салфетка
tobacco, табак
tolerance, толерантность
to tolerate, терпеть
toll, потери
ton, тонна
tonne, тонна
to top, наверх
torture, пытка
to toss, бросать
to total, к общему итогу
tournament, турнир
toxic, токсичный
to trace, отслеживать
trademark, торговая марка
trading, торговля
tragedy, трагедия
tragic, трагический
trail, тащить
trailer, трейлер
trait, черта
transaction, сделка
transcript, транскрипт
transformation, трансформация
transit, транзит
transmission, передача инфекции
to transmit, передавать
transparency, прозрачность
transparent, прозрачный
transportation, транспорт
to trap, ловить в ловушку
trauma, травма
treasure, сокровище
treaty, договор
tremendous, огромный
tribal, племенной
tribe, племя
tribunal, трибунал
tribute, дань уважения
to trigger, вызвать
trillion, триллион
trio, трио
triumph, триумф
troop, отряд
trophy, трофей
troubled,обеспокоенный
trustee, попечитель
tsunami, цунами
tuition, обучение
turnout, оказаться
turnover, оборот
to twist, крутить
ultimate, окончательный
unacceptable, неприемлемо
uncertainty, неопределенность
to undergo, подвергаться
undergraduate, бакалавриат
underlying, лежащий в основе
to undermine, подорвать
to undertake, предпринять
undoubtedly, несомненно
to unfold, разворачиваться
unfortunate, неудачный
to unify, объединить
to unite, объединить
unity, единство
universal, универсальный
unprecedented, беспрецедентный
to unveil, раскрывать
upcoming, предстоящий
to upgrade, для обновления
to uphold, поддерживать
urgent, срочный
usage, использование
useless, бесполезный
utility, полезность
to utilize, использовать
utterly, крайне
vacuum, вакуум
vague, нечеткий
valid, действительный
validity, действительность
to vanish, исчезнуть
variable, переменная
variation, вариация
varied, разнообразный
vein, вена
venture, риск
verbal, словесный
verdict, вердикт
to verify, для проверки
verse, стих
versus, против
vertical, вертикальный
vessel, судно
veteran, ветеран
viable, жизнеспособный
vibrant, яркий
vice, порок
vicious, беспощадный
viewpoint, точка зрения
villager, сельский житель
to violate, нарушать
violation, нарушение
virtue, достоинство
visa, виза
visible, видимый
vocal, вокальный
voluntary, добровольный
voting, голосование
to vow, поклясться
vulnerability, уязвимость
vulnerable, уязвимый
to wander,бродить
ward, сторожить
warehouse, склад
warfare, война
warming, потепление
warrant, ордер
warrior, воин
to weaken, ослабить
to weave, ткать
weed, сорняк
weekly, еженедельно
weird, странный
welfare, благосостояние
well-being, благополучие
whatsoever, что угодно
wheat, пшеница
whereby, посредством чего
whilst, в то время как
to whip, хлестать
whoever, кто бы ни
wholly, полностью
to widen, расширять
widespread, широко распространенный
widow, вдова
width, ширина
willingness, готовность
to wipe, вытирать
wisdom, мудрость
wit, остроумие
to withdraw, снять
withdrawal, снятие
workforce, рабочая сила
workout, тренировка
workplace, рабочее место
workshop, мастерская
worm, червь
worship, поклонение
worthwhile, стоит того
worthy, достойный
wrist, запястье
to yell, кричать
yield, урожай
youngster, юнец
