abandon,покидать
establishment, учреждение
eternal, вечный
ethic, этика
ethnic, этнический
evacuate, эвакуируюсь
evaluation, оценка
evident, очевидный
evoke, вызывать
evolution, эволюция
evolutionary, эволюционный
evolve, эволюционировать
exaggerate, преувеличивать
exceed, превосходить
excellence, совершенство
exception, исключение
exceptional, исключительный
excess, избыток
excessive, излишний
exclude, исключать
exclusion, исключение
exclusive, эксклюзивный
exclusively, исключительно
execute, выполнять
execution, исполнение
exert, оказывать
exhibit, экспонат
exile, изгнание
exit, Выход
exotic, экзотический
expansion, расширение
expenditure, расходы
experimental, экспериментальный
expertise, экспертиза
expire, истекает
explicit, явный
explicitly,явно
exploit, эксплуатировать
exploitation, эксплуатация
explosive, взрывчатое вещество
exposure, контакт
extension, расширение
extensive, обширный
extensively, экстенсивно
extract, извлекать
extremist, экстремистский
fabric, ткань
fabulous, поразительнй
facilitate, способствовать
faction, фракция
faculty, факультет
fade, тускнеть
failed, неуспешный
fairness, справедливость
fake, фальшивый
fame, слава
fantasy, фантастика
fare, плата за проезд
fatal, фатальный
fate, судьба
favourable, благоприятный
feat, подвиг
federal, федеральный
feminist, феминистка
fever, высокая температура
fibre, волокно
fierce, яростный
film-maker, кинорежиссер
filter, фильтр
fine, отлично
firearm, огнестрельное оружие
firefighter, пожарный
firework, фейерверк
firm, твердый
firmly, твердо
fit, соответствовать
fixture, приспособление
flavour, вкус
flaw, недостаток
flawed, несовершенный
flee, бежать
fleet, флот
flesh, плоть
flexibility, гибкость
flourish, процветать
fluid, жидкость
fond, любящий
fool, дурак
footage, отснятый материал
forbid, запрещать
forecast, прогноз
foreigner, иностранец
forge, кузница
format, формат
formation, формирование
formerly, раньше
formula, формула
formulate, формулировать
forth, вперед
forthcoming, предстоящий
fortunate, повезло
forum, форум
fossil, ископаемое
foster, взращивать
foundation, фундамент
founder, основатель
fraction, дробь
fragile, хрупкий
fragment, фрагмент
framework, рамки
franchise, франшиза
frankly, честно говоря
fraud,мошенничество
freely, свободно
frequent, частый
frustrated, расстроенный
frustrating, раздражающий
frustration, разочарование
fulfil, выполнить
full-time, на постоянной основе
functional, функциональный
fundamentally, принципиально
fundraising, сбор средств
funeral, похороны
furious, яростный
gallon, галлон
gambling, играть в азартные игры
gaming, игровой
gathering, встреча
gay, гей
gaze, взгляд
gear, механизм
gender, пол
gene, ген
generic, общий
genetic, генетический
genius, гений
genocide, геноцид
genuine, подлинный
genuinely, искренне
gesture, жест
gig, концерт
glance, взглянуть мельком
glimpse, случайно заметить
globalization, глобализация
globe, глобус
glorious, славный
glory, слава
golden, золотой
goodness, доброта
gorgeous, великолепный
governance, управление
governor, губернатор
grace, милость
graphic, графический
graphics, графика
grasp, понять
grave, могила
grave, могила
gravity, гравитация
greatly, в значительной степени
greenhouse, теплица
grid, сетка
grief, горе
grin, ухмылка
grind, молоть
grip, схватить
grocery, бакалея
gross, валовой
guerrilla, партизан
guidance, руководство
guideline, руководство
guilt, вина
gut, кишка
habitat, среда обитания
hail, град
halfway, наполовину
halt, остановка
handful, горстка
handling, умение обращаться
handy, удобный
harassment, домогательство
harbour, гавань
hardware, аппаратное обеспечение
harmony, гармония
harsh, жесткий
harvest, урожай
hatred,ненависть
haunt, преследовать
hazard, опасность
headquarters, штаб-квартира
heal, лечить
healthcare, здравоохранение
heighten, усиливать
helmet, шлем
hence, следовательно
herb, трава
heritage, наследство
hidden, скрытый
hierarchy, иерархия
high-profile, высококлассный
highway, шоссе
hilarious, веселый
hint, намекать
hip, бедро
historian, историк
homeland, родина
homeless, бездомный
honesty, честность
hook, крюк
hopeful, обнадеживающий
hopefully, с надеждой
horizon, горизонт
horn, рог
hostage, заложник
hostile, враждебный
hostility, враждебность
humanitarian, гуманитарный
humanity, человечество
humble, скромный
hunger, голод
hydrogen, водород
hypothesis, гипотеза
icon, икона
ID, ИДЕНТИФИКАТОР
identical, идентичный
identification, идентификация
ideological, идеологический
ideology, идеология
idiot, идиот
ignorance, невежество
illusion, иллюзия
imagery, образы
immense, огромный
immigration, иммиграция
imminent, неизбежный
immune, иммунный
implement, осуществлять
implementation, выполнение
implication, импликация
imprison, сажать в тюрьму
imprisonment, тюремное заключение
inability, неспособность
inadequate, неадекватный
inappropriate, неприличный
incentive, стимул
incidence, заболеваемость
inclined, наклонный
inclusion, включение
incorporate, включить
incorrect, неправильный
incur, нести
independence, независимость
index, индекс
indication, указание
indicator,индикатор
indictment, обвинительный акт
indigenous, местный
induce, вызывать
indulge, предаваться
inequality, неравенство
inevitable, неизбежный
inevitably, неизбежно
infamous, позорный
infant, младенец
infect, заражать
infer, вывести
inflation, инфляция
inflict, наносить
influential, влиятельный
info, информация
infrastructure, инфраструктура
inhabitant, житель
inherent, присущий
inherit, наследовать
inhibit, подавлять
initiate, инициировать
inject, вводить
injection, инъекция
injustice, несправедливость
ink, чернила
inmate, заключенный
innovation, инновации
innovative, инновационный
input, вход
insert, вставлять
insertion, вставка
insider, инсайдер
inspect, осмотреть
inspection, осмотр
inspector, инспектор
inspiration, вдохновение
installation, установка
instant, мгновенный
instantly, немедленно
instinct, инстинкт
institutional, институциональный
instruct, инструктировать
instrumental, инструментальный
insufficient, недостаточный
insult, оскорблять
intact, нетронутый
intake, потребление
integral, интеграл
integrate, интегрировать
integrated, интегрированный
integration, интеграция
integrity, честность
intellectual, интеллектуальный
intensify, усиливать
intensity, интенсивность
intensive, интенсивный
intent, намерение
interact, взаимодействовать
interaction, взаимодействие
interactive, интерактивный
interface, интерфейс
interfere, вмешиваться
interference, вмешательство
interim, временный
interior, интерьер
intermediate,средний
interpretation, интерпретация
interval, интервал
intervene, вмешиваться
intervention, вмешательство
intimate, интимный
intriguing, интригующий
invade, вторгаться
invasion, вторжение
investigator, следователь
investor, инвестор
invisible, невидимый
invoke, вызывать
involvement, участие
ironic, ироничный
ironically, по иронии судьбы
irony, ирония
irrelevant, не имеющий отношения
isolate, изолировать
isolated, изолированный
isolation, изоляция
jail, тюрьма
jet, струя
joint, соединение
journalism, журналистика
judicial, судебный
junction, перекресток
jurisdiction, юрисдикция
jury, жюри
just,только
justification, оправдание
kidnap, похищать
kidney, почка
kingdom, королевство
kit, набор
lad, парень
ladder, лестница
landing, посадка
landlord, домовладелец
landmark, достопримечательность
lane, переулок
lap, колени
large-scale, крупномасштабный
laser, лазер
lately, недавно
latter, последний
lawn, лужайка
lawsuit, судебный процесс
layout, макет
leaflet, листовка
leak, утечка
leap, прыгнуть
legacy, наследие
legend, легенда
legendary, легендарный
legislation, законодательство
legislative, законодательный
legislature, законодательный орган
legitimate, законный
lengthy, длинный
lens, линза
lesbian, лесбиянка
lesser, меньший
lethal, смертельный
liable, ответственный
liberal, либеральный
liberation, освобождение
liberty, свобода
license, лицензия
lifelong, пожизненный
lifetime, продолжительность жизни
lighting, освещение
likelihood,вероятность
likewise, так же
limb, конечность
limitation, ограничение
linear, линейный
line-up, расстановка
linger, задерживаться
listing, листинг
literacy, грамотность
literally, буквально
literary, литературный
litre, литр
litter, мусор
liver, печень
lobby, лобби
log, бревно
logic, логика
logo, логотип
long-standing, давний
long-time, много времени
loom, ткацкий станок
loop, петля
lottery, лотерея
loyal, лояльный
loyalty, верность
lyric, лирический
machinery, машины
magical, волшебный
magistrate, магистрат
magnetic, магнитный
magnificent, великолепный
magnitude, величина
mainland, материк
mainstream, мейнстрим
maintenance, обслуживание
make-up, составить
making, изготовление
mandate, мандат
mandatory, обязательный
manifest, манифест
manipulate, манипулировать
manipulation, манипуляция
manufacture, производство
manufacturing, производство
manuscript, рукопись
marathon, марафон
march, маршировать
margin, допуск
marginal, маргинальный
marine, морской
marker, маркер
marketplace, рынок
martial, боевые
mask, маска
massacre, резня
mate, приятель
mathematical, математический
mature, зрелый
maximize, максимизировать
mayor, мэр
meaningful, значимый
meantime, тем временем
mechanic, механик
mechanical, механический
mechanism, механизм
medal, медаль
medication, медикамент
medieval, средневековый
meditation, медитация
melody, мелодия
membership,членство
memo, меморандум
memoir, мемуары
memorable, памятный
memorial, мемориал
mentor, наставник
merchant, торговец
mercy, милосердие
mere, просто
merely, просто
merge, слияние
merger, слияние
merit, заслуга
metaphor, метафора
methodology, методология
midst, середина
migration, миграция
militant, воинствующий
militia, милиция
mill, мельница
miner, шахтер
minimal, минимальный
minimize, минимизировать
mining, добыча
ministry, министерство
minute, минута
miracle, чудо
miserable, убогий
misery, невзгоды
misleading, вводящий в заблуждение
missile, ракета
mob, толпа
mobility, мобильность
mobilize, мобилизовать
mode, режим
moderate, умеренный
modest, скромный
modification, модификация
momentum, импульс
monk, монах
monopoly, монополия
monster, монстр
monthly, ежемесячно
monument, памятник
morality, мораль
moreover, более того
mortgage, ипотека
mosque, мечеть
motion, движение
motivate, мотивировать
motivation, мотивация
motive, мотив
motorist, автомобилист
moving, движущийся
municipal, муниципальный
mutual, взаимный
myth, миф
naked, голый
namely, а именно
nasty, противный
nationwide, по всей стране
naval, военно-морской
navigation, навигация
nearby, рядом
necessity, необходимость
neglect, пренебрегать
negotiate, вести переговоры
negotiation, переговоры
neighbouring, соседний
nest, гнездо
net, сеть
neutral, нейтральный
newly, недавно
newsletter, информационный бюллетень
niche, ниша
noble,благородный
nod, кивок
nominate, номинировать
nomination, номинация
nominee, номинант
nonetheless, тем не менее
non-profit, некоммерческий
nonsense, ерунда
noon, полдень
norm, норма
notable, заметный
notably, в частности
notebook, блокнот
notify, уведомить
notorious, печально известный
novel, роман
novelist, романист
nowadays, настоящее время
nursery, питомник
nursing, сестринское дело
nutrition, питание
obesity, ожирение
objection, возражение
oblige, обязывать
observer, наблюдатель
obsess, одержимость
obsession, одержимость
obstacle, препятствие
occasional, случайный
occupation, занятие
occupy, занимают
occurrence, возникновение
odds, шансы
offender, преступник
offering, предлагая
offspring, потомство
ongoing, непрерывный
openly, открыто
opera, опера
operational, оперативный
operator, оператор
opt, выбрать
optical, оптический
optimism, оптимизм
optimistic, оптимистичный
oral, устный
orchestra, оркестр
organic, органический
organizational, организационный
orientation, ориентация
originate, зарождаться
outbreak, вспышка
outfit, одежда
outing, вылазка
outlet, выход
outlook, перспективы
output, выход
outrage, возмущение
outsider, аутсайдер
outstanding, выдающийся
overcome, преодолеть
overlook, упускать из виду
overly, чрезмерно
overnight, на ночь
overseas, за границей
oversee, контролировать
overturn, переворачивать
overwhelm, подавлять
overwhelming, подавляющий
ownership, собственность
oxygen, кислород
packet,пакет
pad, прокладка
palm, ладонь
panic, паника
parade, парад
parallel, параллельный
parameter, параметр
parental, родительский
parish, приход
parliamentary, парламентский
partial, частичный
partially, частично
participation, участие
partnership, партнерство
part-time, неполная занятость
passing, прохождение
passionate, страстный
passive, пассивный
password, пароль
pastor, пастор
patch, пластырь
patent, патент
pathway, тропа
patience, терпение
patrol, патруль
patron, покровитель
pause, пауза
peak, пик
peasant, крестьянин
peculiar, своеобразный
peer, вглядеться
penalty, штраф
perceive, воспринимать
perception, восприятие
permanently, постоянно
persist, сопротивляться
persistent, настойчивый
personnel, персонал
petition, петиция
philosopher, философ
philosophical, философский
physician, врач
pill, таблетка
pioneer, пионер
pipeline, трубопровод
pirate, пират
pit, яма
pity, жалость
placement, размещение
plea, мольба
plead, умолять
pledge, приносить присягу
plug, затыкать
plunge, нырять
pole, полюс
poll, голосование
pond, пруд
pop, поп
portfolio, портфель
portion, часть
portray, изображать
postpone, откладывать
post-war, послевоенный
potentially, потенциально
practitioner, практикующий
preach, проповедовать
precede, предшествовать
precedent, прецедент
precious, драгоценный
precise, точный
precisely, именно так
precision, точность
predator,хищник
predecessor, предшественник
predictable, предсказуемый
predominantly, преимущественно
preference, предпочтение
pregnancy, беременность
prejudice, предрассудки
preliminary, предварительный
premier, премьер
premise, предпосылка
premium, премиум
prescribe, прописывать
prescription, рецепт
presently, в настоящее время
preservation, сохранение
preside, председательствовать
presidency, президентство
presidential, президентский
prestigious, престижный
presumably, предположительно
presume, предполагать
prevail, преобладать
prevalence, распространенность
prevention, профилактика
prey, добыча
pride, гордость
primarily, в первую очередь
principal, главный
prior, прежний
privatization, приватизация
privilege, привилегия
probability, вероятность
probable, вероятный
probe, зонд
problematic, проблематичный
proceed, продолжить
proceedings, разбирательство
proceeds, доходы
processing, обработка
processor, процессор
proclaim, провозглашать
productive, продуктивный
productivity, производительность
profitable, прибыльный
profound, глубокий
programming, программирование
progressive, прогрессивный
prohibit, запрещать
projection, проекция
prominent, видный
promising, многообещающий
promotion, повышение
prompt, быстрый
pronounced, произносится
propaganda, пропаганда
proportion, пропорция
proposition, предложение
prosecute, преследовать в судебном порядке
prosecution, преследование
prosecutor, прокурор
prospective, перспективный
prosperity, процветание
protective, защитный
protein,белок
protester, протестующий
protocol, протокол
province, провинция
provincial, провинциальный
provision, обеспечение
provoke, провоцировать
psychiatric, психиатрический
psychological, психологический
publicity, публичность
publishing, издательский
pulse, пульс
pump, насос
punch, ударить кулаком
punk, панк
purely, чисто
pursuit, преследование
puzzle, головоломка
query, запрос
quest, квест
questionnaire, вопросник
quota, квота
racial, расовый
racism, расизм
racist, расистский
radar, радар
radiation, радиация
radical, радикальный
rage, ярость
raid, рейд
rail, рельс
rally, ралли
random, случайный
ranking, рейтинг
rape, изнасилование
rat, крыса
rating, рейтинг
ratio, соотношение
rational, рациональный
ray, луч
readily, легко
realization, реализация
realm, область
rear, задний
reasonably, разумно
reasoning, рассуждение
reassure, успокаивать
rebel, мятежник
rebellion, восстание
rebuild, перестроить
receiver, приемник
recession, рецессия
recipient, получатель
reckon, считать
recognition, признание
reconstruction, реконструкция
recount, пересчет
recovery, восстановление
recruit, рекрут
recruitment, набор
referee, судья
referendum, референдум
reflection, отражение
reform, реформа
refuge, убежище
refugee, беженец
refusal, отказ
regain, вернуть
regardless, несмотря ни на что
regime, режим
registration, регистрация
regulate, регулировать
regulator,регулятор
regulatory, регулирующий
rehabilitation, реабилитация
reign, царствовать
reinforce, усиливать
rejection, отклонение
relevance, релевантность
reliability, надежность
relieve, облегчить
relieved, с облегчением
reluctant, вынужденный
remainder, остаток
remains, останки
remarkable, замечательный
remarkably, замечательно
remedy, средство
reminder, напоминание
removal, удаление
render, оказывать
renew, обновить
renowned, известный
rental, аренда
replacement, замена
reportedly, как сообщается
reporting, отчетность
representation, представление
reproduce, воспроизводить
reproduction, воспроизводство
republic, республика
resemble, напоминать
reside, проживать
residence, резиденция
residential, Жилой
residue, остаток
resign, подать в отставку
resignation, отставка
resistance, сопротивление
resolution, разрешение
respective, соответствующий
respectively, соответственно
restoration, восстановление
restore, восстановить
restraint, сдержанность
restrict, ограничивать
restriction, ограничение
resume, резюме
retail, розничная торговля
retirement, выход на пенсию
retreat, отступление
retrieve, забрать
revelation, откровение
revenge, месть
revenue, доход
reverse, обеспечить регресс
revision, пересмотр
revival, возрождение
revive, возродить
revolutionary, революционный
rhetoric, риторика
ridiculous, нелепый
rifle, винтовка
riot, бунт
rip, рвать
risky, рискованный
ritual, ритуал
rival, соперник
rob, грабить
robbery,ограбление
robust, крепкий
rock, камень
rocket, ракета
rod, стержень
romance, романтика
rose, роза
rotate, вращать
rotation, вращение
roughly, грубо
ruin, руины
ruling, постановление
rumour, слух
sack, мешок
sacred, священный
sacrifice, жертва
saint, святой
sake, ради
sanction, санкция
satisfaction, удовлетворение
say, сказать
scandal, скандал
scare, пугать
scattered, разбросанный
scholar, ученый
scholarship, стипендия
scope, объем
scratch, царапать
screening, скрининг
screw, винт
scrutiny, проверка
seal, тюлень
seizev., сейзев.
seldom, редко
selective, селективный
seminar, семинар
senator, сенатор
sensation, ощущение
sensitivity, чувствительность
sentiment, сентимент
separation, разделение
serial, серийный
settlement, урегулирование
settler, поселенец
severely, строго
sexuality, сексуальность
sexy, сексуальный
shaped, в форме
shareholder, акционер
shatter, разбить
shed, сбрасывать
sheer, явный
shipping, перевозки
shocking, шокирующий
shoot, стрелять
shore, берег
shortage, нехватка
shortly, вскоре
shrink, сокращать
shrug, пожимание плечами
sibling, брат или сестра
signature, подпись
significance, значение
simulate, симулировать
simulation, симуляция
simultaneously, одновременно
sin, грех
sketch, эскиз
skilled, квалифицированный
skip, пропускать
skull, череп
slam, слэм
slap, шлепок
slash, слэш
slavery, рабство
slogan, лозунг
slot, слот
smash,разгромить
snap, щелчок
soak, замачивать
soar, парить
so-called, так называемый
socialist, социалистический
sole, подошва
solely, исключительно
solicitor, адвокат
solidarity, солидарность
solo, соло
somehow, как-то
sometime, когда-нибудь
sophisticated, сложный
sound, звук
sovereignty, суверенитет
spam, спам
span, охватывать
spare, запасной
spark, искра
specialize, специализироваться
specialized, специализированный
specification, спецификация
specify, указать
specimen, образец
spectacle, зрелище
spectacular, зрелищный
spectator, зритель
spectrum, спектр
speculate, спекулировать
speculation, спекуляция
spell, заклинание
sphere, сфера
spice, специи
spill, разлив
spin, вращаться
spine, позвоночник
spite, злость
spoil, портиться
spokesman, пресс-секретарь
spokesperson, пресс-секретарь
spokeswoman, пресс-секретарь
sponsorship, спонсорство
sporting, спортивный
spotlight, в центре внимания
spouse, супруг
spy, шпион
squad, отряд
squeeze, сжимать
stab, удар ножом
stability, стабильность
stabilize, стабилизировать
stake, кол
stall, ларек
stance, позиция
standing, стоя
stark, суровый
starve, голодать
statistical, статистический
steadily, устойчиво
steam, пар
steer, рулить
stem, корень
stereotype, стереотип
stimulate, стимулировать
stimulus, стимул
stir, помешивать
storage, хранилище
straightforward, простой
strain, напряжение
strand, прядь
strategic, стратегический
strengthen, укреплять
strictly,строго
striking, поразительный
strip, полоска
strip, полоска
strive, стремиться
stroke, гладить
structural, структурный
stumble, спотыкаться
stun, оглушить
stunning, оглушительный
submission, подчинение
subscriber, подписчик
subscription, подписка
subsequent, последующий
subsequently, впоследствии
subsidy, субсидия
substantial, существенный
substantially, существенно
substitute, заменять
substitution, замена
subtle, тонкий
suburb, пригород
suburban, пригородный
succession, преемственность
successive, последовательный
successor, преемник
suck, сосать
sue, Сью
suffering, страдания
sufficient, достаточный
sufficiently, достаточно
suicide, самоубийство
suite, сюита
summit, саммит
super, супер
superb, превосходно
superior, начальство
supervise, контролировать
supervision, надзор
supervisor, руководитель
supplement, добавка
supportive, поддерживающий
supposedly, предположительно
suppress, подавлять
supreme, верховный
surge, всплеск
surgeon, хирург
surgical, хирургический
surplus, излишек
surrender, сдаваться
surveillance, наблюдение
survival, выживание
survivor, выживший
suspend, приостановить
suspension, приостановка
suspicion, подозрение
suspicious, подозрительный
sustain, поддерживать
sustainable, устойчивый
swallow, глотать
swing, качать
sword, меч
symbolic, символический
sympathetic, сочувствующий
syndrome, синдром
synthesis, синтез
systematic, систематический
tackle, взяться
tactic,тактика
tactical, тактический
tag, ярлык
tap, кран
taxpayer, налогоплательщик
technological, технологический
teens, тинейджеры
temple, храм
temporarily, временно
tempt, соблазнять
tenant, жилец
tendency, тенденция
tender, нежный
tension, напряжение
tenure, срок пребывания
terminal, Терминал
terminate, прекратить
terms, условия
terrain, местность
terribly, ужасно
terrific, потрясающий
terrify, ужасать
territory, территория
terror, террор
terrorism, терроризм
terrorist, террорист
testify, свидетельствовать
testimony, показания
testing, тестирование
textbook, учебник
texture, текстура
thankfully, к счастью
theatrical, театральный
theft, кража
theology, теология
theoretical, теоретический
therapist, терапевт
thereafter, после этого
thereby, тем самым
thesis, тезис
thorough, тщательный
thoroughly, тщательно
thoughtful, вдумчивый
thought-provoking, наводящий на размышления
thread, нить
threshold, порог
thrilled, взволнованный
thrive, процветать
thumb, большой палец
tide, прилив
tighten, затянуть
timber, древесина
timely, своевременный
timing, время
tissue, салфетка
tobacco, табак
tolerance, толерантность
tolerate, терпеть
toll, потери
ton, тонна
tonne, тонна
top, вершина
torture, пытка
toss, бросать
total, общий
tournament, турнир
toxic, токсичный
trace, след
trademark, торговая марка
trading, торговля
tragedy, трагедия
tragic, трагический
trail, тащить
trailer, трейлер
trait,черта
transaction, сделка
transcript, транскрипт
transformation, трансформация
transit, транзит
transmission, передача инфекции
transmit, передавать
transparency, прозрачность
transparent, прозрачный
transportation, транспорт
trap, ловушка
trauma, травма
treasure, сокровище
treaty, договор
tremendous, огромный
tribal, племенной
tribe, племя
tribunal, трибунал
tribute, дань уважения
trigger, курок
trillion, триллион
trio, трио
triumph, триумф
troop, отряд
trophy, трофей
troubled, обеспокоенный
trustee, попечитель
tsunami, цунами
tuition, обучение
turnout, оказаться
turnover, оборот
twist, крутить
ultimate, окончательный
unacceptable, неприемлемо
uncertainty, неопределенность
undergo, подвергаться
undergraduate, бакалавриат
underlying, лежащий в основе
undermine, подрывать
undertake, предпринять
undoubtedly, несомненно
unfold, разворачиваться
unfortunate, неудачный
unify, унифицировать
unite, объединяться
unity, единство
universal, универсальный
unprecedented, беспрецедентный
unveil, раскрывать
upcoming, предстоящий
upgrade, обновление
uphold, поддерживать
urgent, срочный
usage, использование
useless, бесполезный
utility, полезность
utilize, использовать
utterly, крайне
vacuum, вакуум
vague, нечеткий
valid, действительный
validity, действительность
vanish, исчезнуть
variable, переменная
variation, вариация
varied, разнообразный
vein, вена
venture, риск
verbal, словесный
verdict, вердикт
verify,проверять
verse, стих
versus, против
vertical, вертикальный
vessel, судно
veteran, ветеран
viable, жизнеспособный
vibrant, яркий
vice, порок
vicious, беспощадный
viewpoint, точка зрения
villager, сельский житель
violate, нарушать
violation, нарушение
virtue, достоинство
visa, виза
visible, видимый
vocal, вокальный
voluntary, добровольный
voting, голосование
vow, клятва
vulnerability, уязвимость
vulnerable, уязвимый
wander, бродить
ward, сторожить
warehouse, склад
warfare, война
warming, потепление
warrant, ордер
warrior, воин
weaken, ослабить
weave, ткать
weed, сорняк
weekly, еженедельно
weird, странный
welfare, благосостояние
well, хорошо
well-being, благополучие
whatsoever, что угодно
wheat, пшеница
whereby, посредством чего
whilst, в то время как
whip, хлыст
whoever, кто бы ни
wholly, полностью
widen, расширять
widespread, широко распространенный
widow, вдова
width, ширина
willingness, готовность
wipe, вытирать
wisdom, мудрость
wit, остроумие
withdraw, отзывать
withdrawal, снятие
workforce, рабочая сила
workout, тренировка
workplace, рабочее место
workshop, мастерская
worm, червь
worship, поклонение
worthwhile, стоит того
worthy, достойный
wrist, запястье
yell, кричать
yield, урожай
youngster, юнец
